"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 11.401044120333426), ('281', 10.025617601523209), ('872', 9.6038439720403428), ('1783', 9.1589639557354516), ('2063', 11.259630733724396)]"
"[('41', 0.17973447750510599), ('281', 0.17953451653301647), ('872', 0.16828298133266034), ('1783', 0.16730546655859171), ('2063', 0.19143627784081257)]"
2,Y1,19
"[('41', 6.0051421494723236), ('281', 4.8503316489099122), ('872', 4.5930668724649122), ('1783', 4.1166071396521708), ('2063', 4.9757936401087806)]"
"[('41', 0.14734267359765205), ('281', 0.13448042740972488), ('872', 0.15000041784601434), ('1783', 0.11983023854146586), ('2063', 0.11766259212610765)]"
2,Y1,20
"[('41', 2.9882382428844618), ('281', 2.0658366293428405), ('872', 2.1127078285571059), ('1783', 1.7842276271815818), ('2063', 2.2193758646623523)]"
"[('41', 0.13133215276741872), ('281', 0.10019381785994537), ('872', 0.10258715692107649), ('1783', 0.084818895316534929), ('2063', 0.08819153659467989)]"
2,Y1,21
"[('41', 1.3874750991547173), ('281', 0.91882382508167881), ('872', 0.78820837259388876), ('1783', 0.84773322804120754), ('2063', 1.0563189402166597)]"
"[('41', 0.075912230930523822), ('281', 0.064445689053101315), ('872', 0.05287282060476297), ('1783', 0.069765166155547842), ('2063', 0.081947409607056057)]"
2,Y1,22
"[('41', 0.92204934925084936), ('281', 0.59149279924231868), ('872', 0.50139720558882239), ('1783', 0.45517503875825066), ('2063', 0.58709599546902125)]"
"[('41', 0.11830224693989895), ('281', 0.072105972019703049), ('872', 0.060898576106223602), ('1783', 0.046936773727473902), ('2063', 0.063851487725166287)]"
2,Y1,23
"[('41', 0.49132024350212328), ('281', 0.36088769217406408), ('872', 0.39855676548741731), ('1783', 0.54937515740475384), ('2063', 0.39539630836047773)]"
"[('41', 0.07435174940995562), ('281', 0.046953155848863018), ('872', 0.054392839618629694), ('1783', 0.093223406119735147), ('2063', 0.05585364176634746)]"
2,Y1,24
"[('41', 0.49563890882986361), ('281', 0.40427040514100054), ('872', 0.43185570710696342), ('1783', 0.49626711652698263), ('2063', 0.33081735040970733)]"
"[('41', 0.097381827217030356), ('281', 0.067460678796078463), ('872', 0.076419129134319808), ('1783', 0.082829203899287052), ('2063', 0.05088207372623519)]"
2,Y1,25
"[('41', 0.4179737975592247), ('281', 0.39019574406978935), ('872', 0.44660804020100503), ('1783', 0.34049140313722676), ('2063', 0.54411315945358918)]"
"[('41', 0.071904250575759096), ('281', 0.064551148959247268), ('872', 0.067506018931947756), ('1783', 0.069716587273737252), ('2063', 0.092056756481338986)]"
Scan_3
3,Y2,1
"[('41', 0.40339499769998827), ('281', 0.35769702655889146), ('872', 0.33018842396745651), ('1783', 0.36076662908680945), ('2063', 0.29900134417089913)]"
"[('41', 0.063034913151900449), ('281', 0.053165095886975086), ('872', 0.054250687994238753), ('1783', 0.069861974122563619), ('2063', 0.039807410864413119)]"
3,Y2,2
"[('41', 0.44897519652535983), ('281', 0.43874812640799876), ('872', 0.45769023689877963), ('1783', 0.37059837036505261), ('2063', 0.43547489543504408)]"
"[('41', 0.079042728940034335), ('281', 0.079301074125274429), ('872', 0.088587910562729383), ('1783', 0.066084931480033998), ('2063', 0.080322997245529021)]"
3,Y2,3
"[('41', 0.56145341637202295), ('281', 0.4393982910892511), ('872', 0.3653723628597324), ('1783', 0.37593107780669477), ('2063', 0.37515706336384852)]"
"[('41', 0.083927108251285118), ('281', 0.074460714108375195), ('872', 0.047248446331011641), ('1783', 0.052851168804843723), ('2063', 0.054552117863538731)]"
3,Y2,4
"[('41', 0.81200814780915465), ('281', 0.7132907302362318), ('872', 0.6946962218433097), ('1783', 0.49500623659580578), ('2063', 0.62773414710766051)]"
"[('41', 0.073854711047662169), ('281', 0.10685044023431604), ('872', 0.089824256684552559), ('1783', 0.057946860292181962), ('2063', 0.066211965723997485)]"
3,Y2,5
"[('41', 1.3812096195262025), ('281', 0.88558683086202561), ('872', 0.92110057164394743), ('1783', 1.0879568560942561), ('2063', 1.1807011560278595)]"
"[('41', 0.079513607449990795), ('281', 0.053219728275308166), ('872', 0.069091941419276312), ('1783', 0.10236631661663995), ('2063', 0.088771091702702976)]"
3,Y2,6
"[('41', 2.6752815542693051), ('281', 2.2221424468696154), ('872', 2.0185304833180782), ('1783', 1.8216234162449303), ('2063', 2.3239514992685399)]"
"[('41', 0.093921532290398915), ('281', 0.099147261501756428), ('872', 0.097237437728796172), ('1783', 0.083178996218549295), ('2063', 0.11296028451251953)]"
3,Y2,7
"[('41', 5.7635717203223056), ('281', 4.6411939467087553), ('872', 4.6254919798009801), ('1783', 4.1543353137764578), ('2063', 5.3685788823797012)]"
"[('41', 0.13840392717011465), ('281', 0.13883954058527215), ('872', 0.13178454650477273), ('1783', 0.11642122052225176), ('2063', 0.13195955481514615)]"
3,Y2,8
"[('41', 11.34957530749594), ('281', 9.8589851910310564), ('872', 9.5127967100804849), ('1783', 9.088045526704235), ('2063', 11.501202335967022)]"
"[('41', 0.18724785576182798), ('281', 0.16148518966599032), ('872', 0.16985266409090768), ('1783', 0.16112712398989543), ('2063', 0.1908646951440742)]"
3,Y2,9
"[('41', 19.91151053958739), ('281', 19.227003886161494), ('872', 17.954323148023512), ('1783', 17.960445792430143), ('2063', 21.747280462411144)]"
"[('41', 0.23724658136933852), ('281', 0.22190308419902929), ('872', 0.21407377180436779), ('1783', 0.21590015883926125), ('2063', 0.22974178620853278)]"
3,Y2,10
"[('41', 31.041106584591088), ('281', 31.72096425334087), ('872', 29.676414637210389), ('1783', 30.413647987796672), ('2063', 36.783916711541913)]"
"[('41', 0.2780793488103257), ('281', 0.28602218040180277), ('872', 0.2724402987566395), ('1783', 0.28783087637027016), ('2063', 0.30657929165840597)]"
3,Y2,11
"[('41', 42.184590949471023), ('281', 46.453220363323041), ('872', 43.049649590366201), ('1783', 44.340730836190033), ('2063', 52.30965373638012)]"
"[('41', 0.32974455451800611), ('281', 0.34008176431830622), ('872', 0.33310999218355969), ('1783', 0.34373092073062783), ('2063', 0.35970112626222694)]"
3,Y2,12
"[('41', 51.560911701363963), ('281', 57.819244991742657), ('872', 51.864380771198078), ('1783', 55.275731797053069), ('2063', 65.106220662544089)]"
"[('41', 0.36416546377055986), ('281', 0.37423098573642044), ('872', 0.36094567922551135), ('1783', 0.36695032411680839), ('2063', 0.40208608242206434)]"
3,Y2,13
"[('41', 53.39341158312245), ('281', 61.913935934372674), ('872', 56.920588340871561), ('1783', 60.198639602290065), ('2063', 69.31053113388738)]"
"[('41', 0.35949567156385803), ('281', 0.39391665702174383), ('872', 0.37411236726983721), ('1783', 0.38917062084806386), ('2063', 0.40722360846097538)]"
3,Y2,14
"[('41', 51.373768878739774), ('281', 57.893141323825709), ('872', 52.424820825132755), ('1783', 56.157317242979808), ('2063', 65.458737233054777)]"
"[('41', 0.36980725169938222), ('281', 0.39122153665879478), ('872', 0.36650964270426672), ('1783', 0.38250528471464745), ('2063', 0.41051860648662081)]"
3,Y2,15
"[('41', 42.44542375824939), ('281', 46.526286989829153), ('872', 42.69138986583301), ('1783', 44.217086980686396), ('2063', 52.971726629953267)]"
"[('41', 0.32668386578636155), ('281', 0.33327143863791842), ('872', 0.31858404607345875), ('1783', 0.33188566494262595), ('2063', 0.35435113423214332)]"
3,Y2,16
"[('41', 30.373747072389378), ('281', 32.416546995045593), ('872', 29.756847225213583), ('1783', 30.803776056856218), ('2063', 35.953017724927079)]"
"[('41', 0.27781973498419354), ('281', 0.28833278066102258), ('872', 0.28024927254760335), ('1783', 0.27946893777031062), ('2063', 0.3003387740685457)]"
3,Y2,17
"[('41', 19.453905927534411), ('281', 19.045781315909927), ('872', 18.163554127666448), ('1783', 18.260801292117186), ('2063', 21.624571449085458)]"
"[('41', 0.22100223167575447), ('281', 0.21787010798020651), ('872', 0.21707815115894283), ('1783', 0.21661164977538661), ('2063', 0.23889622905528821)]"
3,Y2,18
"[('41', 11.508007225609227), ('281', 9.9210832595063145), ('872', 9.4600741634896792), ('1783', 9.2525291119235149), ('2063', 11.129493715963278)]"
"[('41', 0.17637738333990591), ('281', 0.18518013782064904), ('872', 0.15406316298184647), ('1783', 0.1672397188883869), ('2063', 0.17065036921297053)]"
3,Y2,19
"[('41', 5.8413779488698054), ('281', 4.5906618557811409), ('872', 4.381237829446234), ('1783', 4.2569726120822713), ('2063', 5.3771608594970113)]"
