"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.001301769321223513), ('281', 0.0013830807504072852), ('872', 0.0013275670990431784), ('1783', 0.001362927699561462), ('2063', 0.0014783375272323803)]"
2,Y1,14
"[('41', 0.1504778644402944), ('281', 0.16903867694537789), ('872', 0.1543039436774655), ('1783', 0.16476654316780087), ('2063', 0.19332219633358244)]"
"[('41', 0.0012921150387972848), ('281', 0.0013628156172097851), ('872', 0.0013055218879210646), ('1783', 0.0013441282014988269), ('2063', 0.0014581099019054537)]"
2,Y1,15
"[('41', 0.12198176588586167), ('281', 0.13522519845481173), ('872', 0.12713255461775513), ('1783', 0.13035118655590727), ('2063', 0.15733613249358525)]"
"[('41', 0.0011386270679229072), ('281', 0.0011980895329846625), ('872', 0.0011635850672324884), ('1783', 0.0011727127444365883), ('2063', 0.0012903442895247832)]"
2,Y1,16
"[('41', 0.09112007969027594), ('281', 0.095237607432979238), ('872', 0.088566365880388798), ('1783', 0.090354477802913211), ('2063', 0.10801440329218107)]"
"[('41', 0.00097057682223055297), ('281', 0.00098807656640696306), ('872', 0.00095684149282089276), ('1783', 0.00096260296631170026), ('2063', 0.0010570684404767618)]"
2,Y1,17
"[('41', 0.058008300512429591), ('281', 0.053927389939774369), ('872', 0.053437709114469926), ('1783', 0.05322256806858381), ('2063', 0.064179975592932564)]"
"[('41', 0.00078440848328642163), ('281', 0.00075585525629827323), ('872', 0.00075272885659273265), ('1783', 0.00075263091561050203), ('2063', 0.00082443535322823214)]"
2,Y1,18
"[('41', 0.032837296139695792), ('281', 0.028002372896251702), ('872', 0.027527978716387062), ('1783', 0.026425851328446586), ('2063', 0.031760505355671521)]"
"[('41', 0.00060090911117983807), ('281', 0.00055492356035165757), ('872', 0.00055199157155171638), ('1783', 0.00054003837652586741), ('2063', 0.00058887180153790661)]"
2,Y1,19
"[('41', 0.016691615231611539), ('281', 0.013088870866739896), ('872', 0.012092232711486085), ('1783', 0.010818959328916874), ('2063', 0.014019987469315228)]"
"[('41', 0.00041455269147280263), ('281', 0.00036646274618611758), ('872', 0.00035212543711507862), ('1783', 0.00033475516080377373), ('2063', 0.00038125710740856601)]"
2,Y1,20
"[('41', 0.0077695459273568685), ('281', 0.0046463767808458956), ('872', 0.0050173432478015974), ('1783', 0.0044066862990190889), ('2063', 0.0056601569551966184)]"
"[('41', 0.0002876239688051202), ('281', 0.00022149609297330495), ('872', 0.00023060665857179015), ('1783', 0.00021713492386299737), ('2063', 0.00024539461948235161)]"
2,Y1,21
"[('41', 0.0029213989913485588), ('281', 0.0017574511819116135), ('872', 0.001494921363040629), ('1783', 0.0014470294845085744), ('2063', 0.0018761533729751898)]"
"[('41', 0.00017279578430961896), ('281', 0.0001342775020492102), ('872', 0.00012362806145465446), ('1783', 0.0001217736652464619), ('2063', 0.00014006802290134047)]"
2,Y1,22
"[('41', 0.0010913097836451867), ('281', 0.00065826494102158475), ('872', 0.00052078351348191609), ('1783', 0.00050887348133070421), ('2063', 0.00068952348623074636)]"
"[('41', 0.00010747125787837131), ('281', 8.3572211193885614e-05), ('872', 7.4378269726827392e-05), ('1783', 7.3430869712599417e-05), ('2063', 8.5495371822420151e-05)]"
2,Y1,23
