"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 3.9359643927565102), ('281', 3.4583550234252991), ('872', 3.4344954457755641), ('1783', 3.2883511001040882), ('2063', 3.9290766137718101)]"
"[('41', 0.062164002108152656), ('281', 0.057894008663222266), ('872', 0.06680904854992005), ('1783', 0.065665085900382475), ('2063', 0.063652455399561464)]"
2,Y1,9
"[('41', 6.9091088558071085), ('281', 6.7656393042416845), ('872', 6.3508301175625954), ('1783', 6.3915493463260562), ('2063', 7.8031755434685053)]"
"[('41', 0.089729005529207276), ('281', 0.086625441636314374), ('872', 0.077628390555415538), ('1783', 0.083783646954337224), ('2063', 0.093141431137470254)]"
2,Y1,10
"[('41', 10.765947900682873), ('281', 11.342978692850348), ('872', 10.409261801573843), ('1783', 10.64172836182528), ('2063', 12.721218485509393)]"
"[('41', 0.10415567669914609), ('281', 0.10349173701594513), ('872', 0.10035280975422912), ('1783', 0.098104848296140718), ('2063', 0.10649440699796882)]"
2,Y1,11
"[('41', 14.591177862970973), ('281', 16.236311640560441), ('872', 15.017656724315593), ('1783', 15.704791875533772), ('2063', 18.26878974977949)]"
"[('41', 0.11629299870798099), ('281', 0.12423099589180739), ('872', 0.12280346895565734), ('1783', 0.11942639815766483), ('2063', 0.13137424824464061)]"
2,Y1,12
"[('41', 17.81680374282903), ('281', 20.360190893560127), ('872', 18.501448199034535), ('1783', 19.478199118124856), ('2063', 23.020045122415443)]"
"[('41', 0.13007809096877335), ('281', 0.14483880282140424), ('872', 0.13222803658170032), ('1783', 0.13403459639949267), ('2063', 0.14596344880436635)]"
2,Y1,13
"[('41', 19.230717103736367), ('281', 21.715116009173034), ('872', 19.831459526705228), ('1783', 20.809192265203627), ('2063', 24.557327886356251)]"
"[('41', 0.13949443635652398), ('281', 0.14161238941660753), ('872', 0.13830118101555972), ('1783', 0.14029923715128595), ('2063', 0.15289678290381642)]"
2,Y1,14
"[('41', 18.001528610982927), ('281', 20.28622122208759), ('872', 18.323952464280907), ('1783', 19.680181912581965), ('2063', 23.148665672933596)]"
"[('41', 0.13386995827831003), ('281', 0.14328055503336493), ('872', 0.13275347437965318), ('1783', 0.1394988872758692), ('2063', 0.14959061092267681)]"
2,Y1,15
"[('41', 14.848521698770016), ('281', 16.225019961747719), ('872', 15.218956826852565), ('1783', 15.581862740547516), ('2063', 18.702649756749732)]"
"[('41', 0.12138794275254604), ('281', 0.12302294832659769), ('872', 0.12523529877446063), ('1783', 0.11867294131045115), ('2063', 0.13387848793794715)]"
2,Y1,16
"[('41', 10.971195778970227), ('281', 11.387486199994614), ('872', 10.578135936967174), ('1783', 10.92375961305491), ('2063', 12.979024180085087)]"
"[('41', 0.10362370691377262), ('281', 0.10256649110283585), ('872', 0.098579926565709824), ('1783', 0.10528910265306776), ('2063', 0.11133638021602349)]"
2,Y1,17
"[('41', 7.0166722364561283), ('281', 6.5391121881470342), ('872', 6.5323994132828309), ('1783', 6.4233771779186659), ('2063', 7.760433785502725)]"
"[('41', 0.082863805302348978), ('281', 0.079122308388732868), ('872', 0.084258345891786046), ('1783', 0.080181849805874034), ('2063', 0.087651859752248706)]"
2,Y1,18
"[('41', 3.983097941563873), ('281', 3.5368637670567646), ('872', 3.3667060870902921), ('1783', 3.2203901510417166), ('2063', 4.0082027117992114)]"
"[('41', 0.065038321922273601), ('281', 0.069725393192971108), ('872', 0.063659644981828772), ('1783', 0.063051597403594617), ('2063', 0.076103478780124065)]"
2,Y1,19
"[('41', 2.1009315097996986), ('281', 1.7228958918618114), ('872', 1.6178972683872357), ('1783', 1.4448552506416354), ('2063', 1.7371406517856343)]"
"[('41', 0.059574082357507205), ('281', 0.055631776310502805), ('872', 0.062675538252433563), ('1783', 0.049205034936207773), ('2063', 0.045496061508143726)]"
2,Y1,20
"[('41', 1.0524034087744378), ('281', 0.73119417674038589), ('872', 0.74578772941209237), ('1783', 0.61644077237281847), ('2063', 0.76200778080054965)]"
"[('41', 0.057584687329622825), ('281', 0.043974319752780759), ('872', 0.045571622456070229), ('1783', 0.035329305634855479), ('2063', 0.036291030512394816)]"
2,Y1,21
"[('41', 0.47606826869582386), ('281', 0.30639428427817472), ('872', 0.25731592408130299), ('1783', 0.28941275709824471), ('2063', 0.36762132131862607)]"
"[('41', 0.034058314335988799), ('281', 0.029423242881485172), ('872', 0.023569277229991768), ('1783', 0.032117503524944753), ('2063', 0.037623988925428065)]"
2,Y1,22
"[('41', 0.33866805295111491), ('281', 0.2035989860441795), ('872', 0.1614445527549552), ('1783', 0.14688216563466056), ('2063', 0.19667975822400491)]"
"[('41', 0.055302733907462438), ('281', 0.033993066994109179), ('872', 0.028362673232978242), ('1783', 0.023201536334908922), ('2063', 0.029653061167158091)]"
2,Y1,23
"[('41', 0.17135463253236999), ('281', 0.11356727177972727), ('872', 0.12716441758279928), ('1783', 0.20988458432118387), ('2063', 0.12665363735070576)]"
"[('41', 0.036849235304126586), ('281', 0.023937488885863431), ('872', 0.026138408195491011), ('1783', 0.046559491668488807), ('2063', 0.02608626585925607)]"
2,Y1,24
"[('41', 0.1724694903086863), ('281', 0.13000592363890934), ('872', 0.14384422110552764), ('1783', 0.18024622673677787), ('2063', 0.099029805871424598)]"
"[('41', 0.045890215239317661), ('281', 0.033460882088425667), ('872', 0.037292155805625629), ('1783', 0.043285744652732189), ('2063', 0.025021603504029724)]"
2,Y1,25
"[('41', 0.13502333094041638), ('281', 0.12228395006327353), ('872', 0.14727207465900932), ('1783', 0.098406260095480813), ('2063', 0.20852106481897001)]"
"[('41', 0.035265610705220059), ('281', 0.03096979274140392), ('872', 0.032807022877281884), ('1783', 0.033491982824560854), ('2063', 0.046473199910346048)]"
Scan_3
3,Y2,1
"[('41', 0.1484364430093173), ('281', 0.11653796189376443), ('872', 0.10260041310759739), ('1783', 0.12347237880496054), ('2063', 0.088570938844734728)]"
"[('41', 0.032286795696975755), ('281', 0.025705037121555013), ('872', 0.026122615681570205), ('1783', 0.035745592136008343), ('2063', 0.018704678434639837)]"
3,Y2,2
"[('41', 0.15639470189166876), ('281', 0.15850363948051016), ('872', 0.16493180186647524), ('1783', 0.12770558885817868), ('2063', 0.15735006372628216)]"
"[('41', 0.037002819325849132), ('281', 0.038410870080108642), ('872', 0.042876401129875966), ('1783', 0.03395758757391356), ('2063', 0.039597731545688901)]"
3,Y2,3
"[('41', 0.2013658308954179), ('281', 0.14199037840166584), ('872', 0.11353500183960444), ('1783', 0.1175356726195818), ('2063', 0.12012206067133369)]"
"[('41', 0.039894338691950838), ('281', 0.034859312227881294), ('872', 0.023160982630193755), ('1783', 0.024980487233201204), ('2063', 0.025170916421260205)]"
3,Y2,4
"[('41', 0.27130948214750406), ('281', 0.24953328067782007), ('872', 0.23938795656465942), ('1783', 0.15123969166988219), ('2063', 0.19984741731364716)]"
"[('41', 0.034228358941163252), ('281', 0.051375053955500766), ('872', 0.042455086312064086), ('1783', 0.028291761205503144), ('2063', 0.03149557159804723)]"
3,Y2,5
"[('41', 0.46618808327351041), ('281', 0.27812084874160775), ('872', 0.30554683083108236), ('1783', 0.38226505505155195), ('2063', 0.41247217634810079)]"
"[('41', 0.035496129194913739), ('281', 0.022912476641349284), ('872', 0.030597530076279703), ('1783', 0.048084272952331003), ('2063', 0.04177215115271405)]"
3,Y2,6
"[('41', 0.9126755507695069), ('281', 0.77257143882825963), ('872', 0.6892980850338305), ('1783', 0.62401744373855927), ('2063', 0.8080972168621714)]"
"[('41', 0.037882023899097665), ('281', 0.043608033754352515), ('872', 0.042513822523565857), ('1783', 0.03534782586083135), ('2063', 0.049251860663746601)]"
3,Y2,7
"[('41', 2.0219078385503693), ('281', 1.6165908457896203), ('872', 1.61933759096985), ('1783', 1.4403360564426291), ('2063', 1.8907539619908831)]"
"[('41', 0.05514561814543073), ('281', 0.059499584864151286), ('872', 0.054235432872480775), ('1783', 0.045873662803289673), ('2063', 0.052332821286038361)]"
3,Y2,8
"[('41', 3.990104432582966), ('281', 3.4390975349333828), ('872', 3.3254179701642177), ('1783', 3.1646908101785232), ('2063', 4.022598345511434)]"
"[('41', 0.072108697745843497), ('281', 0.058543939305733234), ('872', 0.06494067200686221), ('1783', 0.059709924791306164), ('2063', 0.074980978835736484)]"
3,Y2,9
"[('41', 7.0303130917020376), ('281', 6.7252492797587529), ('872', 6.2948714497240541), ('1783', 6.2771217314836418), ('2063', 7.6072826165003233)]"
"[('41', 0.089622199316465659), ('281', 0.080894736198276709), ('872', 0.078196750881434546), ('1783', 0.07882932610476677), ('2063', 0.081539229793273216)]"
3,Y2,10
"[('41', 10.90107858796504), ('281', 11.15733735404719), ('872', 10.385877855745589), ('1783', 10.719700300596706), ('2063', 12.950278226530246)]"
"[('41', 0.099679901673230611), ('281', 0.10407408403241036), ('872', 0.0978084313465621), ('1783', 0.10697559018349068), ('2063', 0.11151167836506171)]"
3,Y2,11
"[('41', 14.815732091420573), ('281', 16.348567530695771), ('872', 15.103732019633707), ('1783', 15.611375343252508), ('2063', 18.376402376635731)]"
"[('41', 0.12017493880761335), ('281', 0.12242760351980427), ('872', 0.12072340289130667), ('1783', 0.12600515550425737), ('2063', 0.12865024121340846)]"
3,Y2,12
"[('41', 18.129648241206031), ('281', 20.303834278739139), ('872', 18.18891391548588), ('1783', 19.420825930113605), ('2063', 22.845008481497771)]"
"[('41', 0.13255657288685072), ('281', 0.13256552561954255), ('872', 0.12979335882030466), ('1783', 0.13065349071404472), ('2063', 0.14419102456095775)]"
3,Y2,13
"[('41', 18.776081767440189), ('281', 21.729700135526894), ('872', 19.956107760786846), ('1783', 21.157809723792603), ('2063', 24.347094828669384)]"
"[('41', 0.127600807093532), ('281', 0.14174813866642494), ('872', 0.1326044784932536), ('1783', 0.1404612703575906), ('2063', 0.14401998369934094)]"
3,Y2,14
"[('41', 18.070771487185201), ('281', 20.351169419607626), ('872', 18.429490512087341), ('1783', 19.725068461359946), ('2063', 23.050863509749302)]"
"[('41', 0.13402792856722331), ('281', 0.14088432165377407), ('872', 0.13144675690644564), ('1783', 0.13766598391203977), ('2063', 0.14685284831006146)]"
3,Y2,15
"[('41', 14.911783605418549), ('281', 16.349769397132011), ('872', 15.048491164083192), ('1783', 15.54789321939697), ('2063', 18.618296475166339)]"
"[('41', 0.1189507832200139), ('281', 0.11884983726509199), ('872', 0.11443276229426844), ('1783', 0.12035218072741542), ('2063', 0.1267006778365137)]"
3,Y2,16
"[('41', 10.694792666840154), ('281', 11.414096718604151), ('872', 10.491169502476847), ('1783', 10.881145738924435), ('2063', 12.643706529055418)]"
"[('41', 0.10142473125538636), ('281', 0.10430370094858003), ('872', 0.1033135508131249), ('1783', 0.10149721072966733), ('2063', 0.10890464551089864)]"
3,Y2,17
"[('41', 6.8267591479281444), ('281', 6.6945818113282058), ('872', 6.3705342319462268), ('1783', 6.4328502848938935), ('2063', 7.5874423363429129)]"
"[('41', 0.079961233403284274), ('281', 0.078613609309798493), ('872', 0.079252059847934792), ('1783', 0.079039226459200806), ('2063', 0.087104065107320286)]"
3,Y2,18
"[('41', 4.0356938148090249), ('281', 3.51148227282992), ('872', 3.3092721730597217), ('1783', 3.2586250314782172), ('2063', 3.9040587841887207)]"
"[('41', 0.066279104768250927), ('281', 0.075008815631679299), ('872', 0.056275775230910097), ('1783', 0.065304745045916893), ('2063', 0.064222030836140379)]"
3,Y2,19
"[('41', 2.0381547186403566), ('281', 1.6120595257328523), ('872', 1.5069142205910067), ('1783', 1.4837485193294806), ('2063', 1.8831744664045811)]"
"[('41', 0.054148063617370013), ('281', 0.051025689803044096), ('872', 0.039575758871720802), ('1783', 0.049325896438006035), ('2063', 0.053961605299227465)]"
3,Y2,20
"[('41', 1.0266130815602497), ('281', 0.72551206846812188), ('872', 0.72436803492274116), ('1783', 0.62595067544829575), ('2063', 0.81864951150088472)]"
"[('41', 0.056809038762925604), ('281', 0.044364976972589711), ('872', 0.046679399102449816), ('1783', 0.041043633147301389), ('2063', 0.053344252419212805)]"
3,Y2,21
"[('41', 0.44596086031925491), ('281', 0.34833457495983411), ('872', 0.28518611579740838), ('1783', 0.35260914434423657), ('2063', 0.36178252479468653)]"
"[('41', 0.032096524855570678), ('281', 0.050196409434848446), ('872', 0.039215805415441306), ('1783', 0.061551791017804593), ('2063', 0.047269410432078787)]"
3,Y2,22
"[('41', 0.28312934457595018), ('281', 0.18105321870251764), ('872', 0.20917621721406046), ('1783', 0.20034419436405765), ('2063', 0.17788762056795562)]"
"[('41', 0.038447919484645848), ('281', 0.030223572341563431), ('872', 0.054194373490110394), ('1783', 0.035435467349599091), ('2063', 0.025299935465803329)]"
3,Y2,23
"[('41', 0.13215183058147884), ('281', 0.12536686502059829), ('872', 0.15695159814073689), ('1783', 0.14883345297918163), ('2063', 0.09180742788418389)]"
"[('41', 0.024477196432897242), ('281', 0.027151260969902068), ('872', 0.030631010530910378), ('1783', 0.03477602095147047), ('2063', 0.017691380431708901)]"
3,Y2,24
"[('41', 0.18710516870064609), ('281', 0.074969260180041103), ('872', 0.10580158836990174), ('1783', 0.12301907787289794), ('2063', 0.14711531557406476)]"
"[('41', 0.039068005971056557), ('281', 0.018711203919306901), ('872', 0.026421165872081123), ('1783', 0.034696207609271182), ('2063', 0.034746947129733044)]"
3,Y2,25
"[('41', 0.11414521209293144), ('281', 0.13775803266917969), ('872', 0.080140717407497147), ('1783', 0.15601697728883823), ('2063', 0.11728383981619429)]"
"[('41', 0.030099176244905792), ('281', 0.034460202614802357), ('872', 0.02143454666351715), ('1783', 0.038328484047726458), ('2063', 0.028942306355029979)]"
Scan_4
4,X2,1
"[('41', 0.10446877243359655), ('281', 0.16126079230313584), ('872', 0.091547020818377609), ('1783', 0.084770553292295547), ('2063', 0.10028182666762404)]"
"[('41', 0.032998621844176769), ('281', 0.051599000372358081), ('872', 0.020726961186105675), ('1783', 0.020688261056465596), ('2063', 0.028824283281524931)]"
4,X2,2
"[('41', 0.16793941079873295), ('281', 0.18524435668446798), ('872', 0.14132141671377679), ('1783', 0.16464158799669765), ('2063', 0.18635731274962977)]"
"[('41', 0.037756286293700876), ('281', 0.043687463312924911), ('872', 0.03492935091342652), ('1783', 0.039248888772636575), ('2063', 0.053304084840550783)]"
4,X2,3
"[('41', 0.13162535969553513), ('281', 0.18440012626966001), ('872', 0.18494899143204582), ('1783', 0.19577426871269299), ('2063', 0.12502785411869569)]"
"[('41', 0.029659075705751076), ('281', 0.036993039389751833), ('872', 0.036459839580179114), ('1783', 0.041985865056268591), ('2063', 0.029179573751124132)]"
4,X2,4
"[('41', 0.25465035937654229), ('281', 0.19781896513036845), ('872', 0.27338807376497509), ('1783', 0.18979890343596048), ('2063', 0.24968362099141064)]"
"[('41', 0.030737262199639386), ('281', 0.029904668469699199), ('872', 0.052634280388557851), ('1783', 0.032417310260756685), ('2063', 0.035245931340627069)]"
4,X2,5
"[('41', 0.46076010471398599), ('281', 0.39943366446940859), ('872', 0.40468587553839297), ('1783', 0.46981230157993426), ('2063', 0.48644407717591132)]"
"[('41', 0.039994419413836572), ('281', 0.031812360288049311), ('872', 0.039834390470170358), ('1783', 0.04740567187950679), ('2063', 0.058627464550172537)]"
4,X2,6
"[('41', 1.0620978669562173), ('281', 0.95666729493703828), ('872', 0.88552351721724143), ('1783', 0.87143869850414124), ('2063', 1.009693749326823)]"
"[('41', 0.04374815919307791), ('281', 0.048078247963534625), ('872', 0.044038069698895628), ('1783', 0.043076054920906909), ('2063', 0.048601209370031651)]"
4,X2,7
"[('41', 2.1126835134067985), ('281', 2.0362512004451743), ('872', 1.8163111466082758), ('1783', 1.7862501570436311), ('2063', 2.1325548834120158)]"
"[('41', 0.05499531026103547), ('281', 0.061778079247161881), ('872', 0.045382940534589189), ('1783', 0.048213500070042145), ('2063', 0.061380160093324053)]"
4,X2,8
"[('41', 3.9865310176461306), ('281', 4.0635196241376432), ('872', 3.8857604366836549), ('1783', 3.7638961087182534), ('2063', 4.522724951486059)]"
"[('41', 0.068003190801342067), ('281', 0.070014686156590775), ('872', 0.068648854632942832), ('1783', 0.061790391008655576), ('2063', 0.069915052697757982)]"
4,X2,9
