"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('81', 0.12586231264680348), ('875', 0.11240628322991399), ('1610', 0.11946375572888976), ('1690', 0.10994003270943122), ('1730', 0.11981693979876838)]"
"[('81', 0.00091959012713527602), ('875', 0.00086905986541386138), ('1610', 0.00089885838771466516), ('1690', 0.00086072361298936801), ('1730', 0.0008995751893208781)]"
2,Y1,13
"[('81', 0.086834076507861999), ('875', 0.074894733209084005), ('1610', 0.080331320103537537), ('1690', 0.077739198862420533), ('1730', 0.083805014081395984)]"
"[('81', 0.00077233416954238887), ('875', 0.00071912483483855465), ('1610', 0.00074537768564426996), ('1690', 0.00073184207579183756), ('1730', 0.00076215715524821529)]"
2,Y1,14
"[('81', 0.051348422411353394), ('875', 0.041470519209796101), ('1610', 0.045249024954267768), ('1690', 0.046505367065888932), ('1730', 0.048919721129288329)]"
"[('81', 0.00059430598741695608), ('875', 0.00053426115019011909), ('1610', 0.00055920060812394989), ('1690', 0.00056577873017933352), ('1730', 0.00058099205548179614)]"
2,Y1,15
"[('81', 0.025746866199127506), ('875', 0.018506502471215176), ('1610', 0.021350028646174874), ('1690', 0.024035507941657635), ('1730', 0.023704828633555379)]"
"[('81', 0.00042156823098938153), ('875', 0.00035690958658112605), ('1610', 0.00038450937743614457), ('1690', 0.00040663857148482519), ('1730', 0.0004047876075827526)]"
2,Y1,16
"[('81', 0.011353159300909195), ('875', 0.0074164305567706893), ('1610', 0.0081904326055939908), ('1690', 0.010384698217843106), ('1730', 0.010176199001224913)]"
"[('81', 0.00027664662090637993), ('875', 0.00022400067715019098), ('1610', 0.00023459036144356433), ('1690', 0.00026590476768374504), ('1730', 0.00026175669508447135)]"
2,Y1,17
"[('81', 0.0045697177411412474), ('875', 0.0024621485693275382), ('1610', 0.00281011378334548), ('1690', 0.0042875339785426328), ('1730', 0.0035784870550693046)]"
"[('81', 0.00017306774216765603), ('875', 0.00012732720268239427), ('1610', 0.00013564099071419286), ('1690', 0.00016870666198452443), ('1730', 0.00015357352403573505)]"
2,Y1,18
"[('81', 0.0012649000943315324), ('875', 0.00077892194344597924), ('1610', 0.00083607857709430537), ('1690', 0.0014506631603018523), ('1730', 0.0011362255872285386)]"
"[('81', 9.5551542752512835e-05), ('875', 7.4578128907236302e-05), ('1610', 7.7263172486472325e-05), ('1690', 0.00010174271605499026), ('1730', 9.0622612648118408e-05)]"
2,Y1,19
"[('81', 0.00049699730793124875), ('875', 0.0001725744658820281), ('1610', 0.00018636627184626854), ('1690', 0.00046939930694572915), ('1730', 0.00030372267358786211)]"
"[('81', 5.855713764881381e-05), ('875', 3.4511914853276999e-05), ('1610', 3.586286345818286e-05), ('1690', 5.7740895127932679e-05), ('1730', 4.5780961903947789e-05)]"
Scan_3
3,X2,1
"[('81', 0.0011527417306311778), ('875', 0.00067644988058588847), ('1610', 0.00066955657407918715), ('1690', 0.001000945721129619), ('1730', 0.00093189568290696228)]"
"[('81', 8.9150405064475328e-05), ('875', 6.8308641399452943e-05), ('1610', 6.7960406883002327e-05), ('1690', 8.3082405988449851e-05), ('1730', 8.016743026012868e-05)]"
3,X2,2
"[('81', 0.0026713420905495233), ('875', 0.0017396827150095958), ('1610', 0.0020776818316732585), ('1690', 0.0026782817580020572), ('1730', 0.0021192290700242987)]"
"[('81', 0.00013561045522741109), ('875', 0.00010992873982093755), ('1610', 0.00012002873048550421), ('1690', 0.00013613740562285005), ('1730', 0.00012121631540585523)]"
3,X2,3
"[('81', 0.0068353283387066061), ('875', 0.0047470847778127954), ('1610', 0.0053776149391324898), ('1690', 0.0068353732205704678), ('1730', 0.0060538411030860145)]"
"[('81', 0.00021255207242172576), ('875', 0.0001763710417719284), ('1610', 0.00018786269065227843), ('1690', 0.00021235052588682786), ('1730', 0.00019920155894983984)]"
3,X2,4
"[('81', 0.014593472608902019), ('875', 0.011030896428596731), ('1610', 0.012638588785377776), ('1690', 0.014352711146374984), ('1730', 0.014211126617879382)]"
"[('81', 0.00032261848951590355), ('875', 0.00028016653277835831), ('1610', 0.00029934907145209172), ('1690', 0.00031910022894791505), ('1730', 0.0003186752811353557)]"
3,X2,5
"[('81', 0.030102019686072037), ('875', 0.024206740890548535), ('1610', 0.027086166313478887), ('1690', 0.028507727457842386), ('1730', 0.029923379581693933)]"
"[('81', 0.00045659858726180744), ('875', 0.00040777436868948439), ('1610', 0.00043171991490711736), ('1690', 0.00044521823554888096), ('1730', 0.00045418154700896531)]"
3,X2,6
"[('81', 0.054872683817253014), ('875', 0.04715036112934997), ('1610', 0.051173967853766149), ('1690', 0.050939270776564523), ('1730', 0.05472966761658371)]"
"[('81', 0.00059972486997046084), ('875', 0.00055599666915729046), ('1610', 0.00057880375386478908), ('1690', 0.00058052083776563568), ('1730', 0.0005997549722949766)]"
3,X2,7
"[('81', 0.088097851221414614), ('875', 0.078985877383105321), ('1610', 0.083062417603655458), ('1690', 0.080270305716040949), ('1730', 0.085060708344550054)]"
"[('81', 0.00078229933140599919), ('875', 0.00073896509282465222), ('1610', 0.00075832587490907782), ('1690', 0.00074559353348010852), ('1730', 0.00076680361000992065)]"
3,X2,8
"[('81', 0.12556771904637004), ('875', 0.11306076524308169), ('1610', 0.11880224475567919), ('1690', 0.11115406119927383), ('1730', 0.1211648501832589)]"
"[('81', 0.00093040300062765906), ('875', 0.00088375038774596293), ('1610', 0.00090665481936879559), ('1690', 0.00087593746137117577), ('1730', 0.00091687952757222245)]"
3,X2,9
"[('81', 0.15356606833982811), ('875', 0.13942281806924028), ('1610', 0.14829122528367411), ('1690', 0.13429079064258218), ('1730', 0.14697410219135304)]"
"[('81', 0.0010157029349701944), ('875', 0.00096736448122184163), ('1610', 0.00099824901154830148), ('1690', 0.0009509199878574839), ('1730', 0.00099848540282397136)]"
3,X2,10
"[('81', 0.16765834667844717), ('875', 0.15150783078059318), ('1610', 0.16152099338068318), ('1690', 0.14526315789473684), ('1730', 0.16036446469248292)]"
"[('81', 0.0010793924259993061), ('875', 0.0010228240529828881), ('1610', 0.0010575469272679763), ('1690', 0.0010027873993398585), ('1730', 0.0010529431398966825)]"
3,X2,11
"[('81', 0.1564340177531916), ('875', 0.14389743244607464), ('1610', 0.15233864997644525), ('1690', 0.13924408431367272), ('1730', 0.15184676681203899)]"
"[('81', 0.0010245805433189285), ('875', 0.0009857856672262689), ('1610', 0.0010114538237141709), ('1690', 0.00096975434044690501), ('1730', 0.0010154360084514682)]"
3,X2,12
