Scan,Type,BCID,sigma,sigmaErr,Amp,AmpErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
5,X,1903,0.1307147828553224,0.0,0.01657700495645843,2.5285503465060406e-05,-0.0012939370276208219,0.00016588979517924204,2.5830682683568586e-05,2.993911036672236e-06,0.1307147828553224,0.0,0.01657700495645843,2.5285503465060406e-05,0.005431511548724993,8.284880438085055e-06,0,72.71688352417745,15
5,X,1943,0.1274531205999576,0.0,0.01745041149989349,3.4646108383988206e-05,-0.0014358767858115924,0.00016642327605792073,3.7115855019950186e-05,2.683632535801228e-06,0.1274531205999576,0.0,0.01745041149989349,3.4646108383988206e-05,0.005575015511458996,1.1068655409851094e-05,0,50.086982707069666,15
5,X,1983,0.13097229549078956,0.0,0.01619423188446038,2.9028779181022015e-05,-0.001356811782179573,0.00017627622805503593,3.1657605009496324e-05,2.812382622523203e-06,0.13097229549078956,0.0,0.01619423188446038,2.9028779181022015e-05,0.005316547851192094,9.530115085340155e-06,0,54.27835440336816,15
5,X,2023,0.12916572211388075,0.0,0.016784282356500552,2.6765139499473705e-05,-0.0010269515985992259,0.00015625428159169762,3.371560000868579e-05,2.285778463937683e-06,0.12916572211388075,0.0,0.016784282356500552,2.6765139499473705e-05,0.005434254671024525,8.66576129120622e-06,0,56.0684033760889,15
5,X,2063,0.1303816368015598,0.0,0.016565135931095626,2.8108937237915494e-05,-0.0013208067158419158,0.00015839265532248411,1.9740135775910274e-05,2.682492994119934e-06,0.1303816368015598,0.0,0.016565135931095626,2.8108937237915494e-05,0.005413789519534771,9.186515006992916e-06,0,110.54655409001738,15
5,X,2654,0.12646259470846075,0.0,0.01786791832291174,3.1928620681588635e-05,-0.0016789564156491597,0.00015737019653995783,3.785256615090382e-05,2.557332550853499e-06,0.12646259470846075,0.0,0.01786791832291174,3.1928620681588635e-05,0.005664035686767864,1.0121204031803646e-05,0,43.73826174621624,15
5,X,2694,0.12975466466992194,0.0,0.01674477373660204,2.964916819542332e-05,-0.0014241028686041671,0.0001617091136168903,3.541806136112546e-05,2.915009199213614e-06,0.12975466466992194,0.0,0.01674477373660204,2.964916819542332e-05,0.005446182588068223,9.643294446174352e-06,0,55.24185806831726,15
5,X,2734,0.12865238300096848,0.0,0.017176678657392554,2.991446088662982e-05,-0.0014626308266943652,0.0001630976792265419,3.622013200072272e-05,2.880954847591097e-06,0.12865238300096848,0.0,0.017176678657392554,2.991446088662982e-05,0.005539198901384462,9.646926055021292e-06,0,55.9454178283245,15
5,X,2774,0.12658914959080697,0.0,0.01770048811884949,3.025714889823374e-05,-0.001521384284023178,0.00014926505764675937,3.829137475401756e-05,2.8512115912840416e-06,0.12658914959080697,0.0,0.01770048811884949,3.025714889823374e-05,0.005616576252716714,9.600954664959787e-06,0,78.22570931357626,15
5,X,2814,0.12899140786498592,0.0,0.017253088591299467,3.41767592499104e-05,-0.0015684613621581773,0.00017180985584910188,3.203092693230214e-05,6.694503899384859e-07,0.12899140786498592,0.0,0.017253088591299467,3.41767592499104e-05,0.005578501694961115,1.1050491533443368e-05,0,86.7781730819711,15
5,X,2854,0.13044481961435714,0.0,0.016404039339408392,2.828896927327691e-05,-0.0014772171593812064,0.00016900499788786587,3.795937593048415e-05,2.744213572626333e-06,0.13044481961435714,0.0,0.016404039339408392,2.828896927327691e-05,0.005363738209002981,9.249833059096951e-06,0,54.607619142736844,15
5,X,2894,0.12776724135220963,0.0,0.017273105856796547,2.8472362436998516e-05,-0.0015079954118314006,0.00015169156217871972,3.851704253076349e-05,2.7072176427136993e-06,0.12776724135220963,0.0,0.017273105856796547,2.8472362436998516e-05,0.005531970897361082,9.118700579179103e-06,0,47.39997603606493,15
5,X,2934,0.12531718759427213,0.0,0.01799714372902621,3.358126784013141e-05,-0.001610937138595841,0.00015246192398426787,4.216802160098898e-05,2.299289830756945e-06,0.12531718759427213,0.0,0.01799714372902621,3.358126784013141e-05,0.005653327680841512,1.0548668938626071e-05,0,68.90740026691091,15
6,Y,1,0.16724538971361544,0.0,0.012628312428693611,2.0932368532970832e-05,-0.002875032036112957,0.00023076798116015577,9.880984919163893e-17,9.116289795613186e-07,0.16724538971361544,0.0,0.012628312428693611,2.0932368532970832e-05,0.005294066679111938,8.775309875411128e-06,0,54.66444312950203,15
6,Y,41,0.1358073378635519,0.0,0.015068001975995926,2.4458954178421244e-05,-0.0025112813370792466,0.000193394450508169,3.8778149068443015e-05,3.3598555528790977e-06,0.1358073378635519,0.0,0.015068001975995926,2.4458954178421244e-05,0.005129426826416158,8.326280810736698e-06,0,27.664010864711106,15
6,Y,81,0.13191661129111826,0.0,0.015424926207617215,2.2807408823720676e-05,-0.0030423262502799163,0.00017822241156203084,4.821824176935052e-05,2.8611972087624887e-06,0.13191661129111826,0.0,0.015424926207617215,2.2807408823720676e-05,0.0051004972265083475,7.54163254225379e-06,0,12.870494561321435,15
6,Y,121,0.12963656620196345,0.0,0.015818203394629797,2.6734962400593265e-05,-0.002832649233816342,0.00018273649020878572,3.284713938333628e-05,2.137119338467551e-06,0.12963656620196345,0.0,0.015818203394629797,2.6734962400593265e-05,0.005140135985337603,8.687544272479838e-06,0,27.868196601668878,15
6,Y,161,0.1261537334877863,0.0,0.016802378531867963,2.7740065737890397e-05,-0.0032218971362002664,0.00016308578783376813,3.903407220506916e-05,2.2215925325830285e-06,0.1261537334877863,0.0,0.016802378531867963,2.7740065737890397e-05,0.0053132567977935505,8.771977882389748e-06,0,51.97592146577775,15
6,Y,201,0.12703110674859777,0.0,0.01664706631290001,2.458544002546691e-05,-0.002995152637115408,0.00015691018115242386,4.925486387379219e-05,2.1530763414448484e-06,0.12703110674859777,0.0,0.01664706631290001,2.458544002546691e-05,0.005300754925542338,7.828490009115412e-06,0,28.09649992860839,15
6,Y,241,0.12786781573351122,0.0,0.016469162559934962,2.7476611516570372e-05,-0.0029860283744620776,0.00016808940933493816,4.674741008700689e-05,2.328676711311206e-06,0.12786781573351122,0.0,0.016469162559934962,2.7476611516570372e-05,0.005278647932177014,8.806723355686407e-06,0,45.02008816795321,15
6,Y,281,0.1254913023373464,0.0,0.016883559992008176,2.6632520488269636e-05,-0.0028271940920078127,0.00016687896050496321,3.758204652550723e-05,1.9904387386626688e-06,0.1254913023373464,0.0,0.016883559992008176,2.6632520488269636e-05,0.0053108934188571275,8.377526887438462e-06,0,61.01861114155861,15
6,Y,872,0.12672028495804497,0.0,0.016507745768203474,2.4397293083845425e-05,-0.0027100220804976353,0.00015707493362457183,2.843898139110457e-05,2.108405427577453e-06,0.12672028495804497,0.0,0.016507745768203474,2.4397293083845425e-05,0.005243531083385748,7.749572014976453e-06,0,93.45768561631706,15
6,Y,912,0.12744187778274438,0.0,0.01647280171910617,2.6212291169860157e-05,-0.0028305486093632305,0.00017852109782410302,4.316431230384166e-05,2.0084208529541622e-06,0.12744187778274438,0.0,0.01647280171910617,2.6212291169860157e-05,0.005262226859768485,8.373501059636071e-06,0,35.505440838337734,15
